Compare,Icon,Name,Type,Element,PATK,MATK,PDEF,MDEF,TOTAL,COST,Colo Skill,C. Aid Skill
Compare,,"Call of the Deep
水底からの呼び声",Polearm,,2477,2798,1347,1488,"8110
(Lv120)",20,"氷霧の纏霊(Ⅲ)
Deal great magical damage to 1-2 enemies. Deal great magical damage to 1-3 enemies instead if Allies Nightmare [警鐘ハ散華ノ飛沫ヲ呼ブ(For Whom The Bell Splashes)] is active.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Cool-headed King
冷徹の王",Staff,,2414,2410,1649,1647,"8120
(Lv120)",21,"Blessed Gospel (IV)
Heal 2-3 allies by a moderate amount of HP.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"An Automatic Book
自動図書",Tome,,2696,2692,1378,1376,"8142
(Lv120)",21,"腐蝕ノ呪術/生(Ⅲ)
Reduce the physical ATK and magical ATK of 1-2 enemies by a moderate amount. Between the Start of Colosseum & 5 Minutes before it ends, Increase Effects.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Grieving Grim Seas
溟海の嘆き",Ranged,,2537,2802,1351,1438,"8128
(Lv120)",21,"Evil Hail of Assault (IV)
Deal massive magical damage to 1 enemy, and increase own magical ATK by a small amount.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Sword of Dances
舞い踊る剣",Blade,,2804,2531,1438,1347,"8120
(Lv120)",21,"Icicle of Leeching (IV)
Deal massive physical damage to 1 enemy, and recover a small amount of own HP.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Revived Breath
再生の息吹",Staff,,2543,2538,1501,1499,"8081
(Lv140)",18,"身護の誓願(Ⅴ)
Heal 2-3 allies by a moderate amount of HP, and increase their magical DEF by a small amount.","Recovery Support (II)
Fixed chance to moderately increase HP recovered while healing."
Compare,,"Tome of Ancient Ruins
古代遺跡の書",Tome,,2539,2535,1431,1429,"7934
(Lv140)",18,"Shrieks of Demise (Verse 4)
Reduce the physical DEF and magical DEF of 2 enemies by a massive amount.","Support Boon (II)
Fixed chance to moderately increase support effects while providing backup."
Compare,,"Reversed Engraving
逆様の刻界",Focus,,2365,2863,1291,1523,"8042
(Lv140)",18,"Evil Blaze of Protection (V)
Deal great magical damage to 1-3 enemies, and increase own magical DEF by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"A Song to the Rainbow
虹に捧げる唄",Instr.,,2420,2814,1315,1477,"8026
(Lv140)",18,"Sage’s Gospel (IV)
Increase the magical ATK and magical DEF of 1-3 allies by a great amount.","Support Boon (II)
Fixed chance to moderately increase support effects while providing backup."
Compare,,"Scythe of the Magic User
使い魔の鎌",Polearm,,2541,2735,1404,1401,"8081
(Lv140)",18,"Evil Hail of Defense (V)
Deal great magical damage to 1-3 enemies, and decrease their magical DEF by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Gun of the Fiery Magical Beast
炎魔獣の銃砲",Ranged,,2543,2693,1406,1404,"8046
(Lv140)",18,"伍ノ型(紅焔)
Deal colossal magical damage to 1 enemy, and increase own magical ATK and magical DEF by a small amount.","Replenish Magic (III)
Fixed chance to greatly reduce SP consumption while executing commands."
Compare,,"Stick of Decayed Ropes
朽ち縄の棍",Hammer,,2793,2480,1441,1358,"8072
(Lv140)",18,"Wind God's Force (V)
Deal great physical damage to 1-3 enemies, and decrease their physical ATK and magical ATK by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Sword of Heated Steel
熱鉄の剣",Blade,,2989,1988,1588,1231,"7796
(Lv140)",18,"Flames of Defense (V)
Deal colossal physical damage to 1 enemy, and decrease their physical DEF by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Staff of the Ephemeral Moon
幽月の杖",Staff,,3227,2962,2339,2414,"10942
(Lv140)",23,"Angel’s Death Rattle (V)
Heal 2-3 allies by a great amount of HP. Between The Start of Colosseum & 5 Minutes before it ends, Recover 10sp with every use.","Recovery Support (IV)
Fixed chance to massively increase HP recovered while healing."
Compare,,"Harp of the Butterfly Cage
蝶籠の竪琴",Instr.,,3223,3980,1575,2139,"10917
(Lv140)",23,"Sage’s Gospel (IV)
Increase the magical ATK and magical DEF of 1-3 allies by a great amount.","Assistance Support (IV)
Fixed chance to massively increase support effects while providing backup."
Compare,,"Tome of the House of Medicine
薬屋の医書",Tome,,2972,4161,1798,1997,"10928
(Lv140)",23,"Exorcist's Incantation (IV)
Reduce the magical ATK and magical DEF of 1-3 enemies by a great amount.","Assistance Support (IV)
Fixed chance to massively increase support effects while providing backup."
Compare,,"Undead Vase
不死の花瓶",Focus,,2881,4068,2028,1953,"10930
(Lv140)",23,"Mist of Sorcery (V)
Deal great magical damage to 1-3 enemies, and increase Power when Allies Nightmare [警鐘ハ散華ノ飛沫ヲ呼ブ(For Whom The Bell Splashes)] is active.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"High Priestess' Naginata
女教皇の薙刀",Polearm,,2965,4029,1831,2114,"10939
(Lv140)",23,"Evil Thunder of Assault (V)
Deal great magical damage to 1-3 enemies, and increase own magical ATK by a small amount.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Blade of the Cursed Demonic Blood
魔血の呪剣",Blade,,4066,3064,2205,1570,"10905
(Lv140)",23,"崩壊の燈火(Ⅴ)
Deal colossal physical damage to 1 enemy.","Dauntless Courage (IV)
Fixed chance to massively increase damage while attacking."
Compare,,"Axe of Suffering
被虐の斧",Hammer,,2760,2533,1469,1349,"8111
(Lv120)",21,"Lightning of Leeching (V)
Deal great physical damage to 1-3 enemies, and recover a small amount of own HP.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Bow of Restriction
束縛の弓",Ranged,,2535,2800,1349,1436,"8120
(Lv120)",21,"魔絶の燈火(Ⅴ)
Deal colossal magical damage to 1 enemy.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Bell of Blessings
祝福の鐘",Focus,,2379,2996,1595,1611,"8581
(Lv140)",19,"Inferno of Exorcism (III)
Deal great magical damage to 1-2 enemies.","Replenish Magic (II)
Fixed chance to moderately reduce SP consumption while executing commands."
Compare,,"Judgement
ジャッジメント",Staff,,2678,2674,1604,1602,"8558
(Lv140)",19,"再生の黎明(Ⅱ)
Heal 2 allies by a moderate amount of HP. Between the Start of Colosseum & 5 Minutes before it ends, Increase Effects.","Recovery Support (II)
Fixed chance to moderately increase HP recovered while healing."
Compare,,"Hateful Casket of Demonic Sleep
魔眠の厭柩",Tome,,2792,2423,1295,1504,"8014
(Lv140)",18,"Incantation of Breaking (III)
Reduce the physical ATK and magical DEF of 1-2 enemies by a great amount.","Support Boon (II)
Fixed chance to moderately increase support effects while providing backup."
Compare,,"Timbre of Dietary
食事の音色",Instr.,,2474,2777,1314,1476,"8041
(Lv140)",18,"Sage's Gospel (III)
Increase the magical ATK and magical DEF of 1-2 allies by a great amount.","Support Boon (II)
Fixed chance to moderately increase support effects while providing backup."
Compare,,"Opal Spear
蛋白石の矛",Polearm,,2677,2956,1395,1575,"8603
(Lv140)",19,"Evil Hail of Assault (IV)
Deal great magical damage to 1-2 enemies, and increase own magical ATK by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Spirit Summoning
亡魂の喚き",Ranged,,2369,2902,1263,1486,"8020
(Lv140)",18,"Evil Hail of Assault (III)
Deal great magical damage to 1 enemy, and increase own magical ATK by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Great Hammer of the Bloodstone
血石の大槌",Hammer,,2955,2666,1572,1387,"8580
(Lv140)",19,"Inferno of Assault (IV)
Deal great physical damage to 1-2 enemies, and increase own physical ATK by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Cursed Blade of Ancient Steel
古鉄の呪剣",Blade,,3046,2548,1621,1358,"8573
(Lv140)",19,"Gale of Destruction (IV)
Deal massive physical damage to 1 enemy.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Alchemist's Staff
錬金術師の杖",Staff,,2862,2913,1993,2056,"9824
(Lv140)",21,"破撃の誓願(Ⅴ)
Heal 2-3 allies by a moderate amount of HP, and increase their magical ATK by a small amount.","Replenish Magic (III)
Fixed chance to greatly reduce SP consumption while executing commands."
Compare,,"First Writing of Dependency
依存の書き初め",Tome,,3325,3051,1795,1662,"9833
(Lv140)",21,"枷鎖ノ呪術/死(Ⅲ)
Reduce the physical ATK and physical DEF of 1-2 enemies by a moderate amount. Increase Skill Effects at 5 Minutes Remaining.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Hanetsuki Paddle of Slumber
睡眠の羽子板",Polearm,,2922,3440,1673,1801,"9836
(Lv140)",21,"魔絶の烈火(Ⅴ)
Deal great magical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Crescent Blade of Sorrow
悲哀の月輪刀",Blade,,3385,2914,1881,1667,"9847
(Lv140)",21,"崩壊の燈火(Ⅴ)
Deal colossal physical damage to 1 enemy.","乾坤一擲/剣戟(弐)
When Attacking, Chance to get a small amount of inochi(lifeforce). ※Increased Power with more Blades in Main Grid (Small ~ Massive)"
Compare,,"Fire Dragon Flute
火龍の笛",Instr.,,1183,1024,511,500,"3218
(Lv80)",14,"Warrior's Rondo (III)
Increase the physical ATK of 1-2 allies by a great amount.","Replenish Magic (I)
Fixed chance to slightly reduce SP consumption while executing commands."
Compare,,"Ghostly Knight's Black Blade
幽騎の黒剣",Blade,,1139,950,607,507,"3203
(Lv80)",14,"Torch of Destruction (III)
Deal great physical damage to 1 enemy.","ATK Debuff (I)
Fixed chance to slightly reduce enemy's physical ATK and magical ATK while attacking."
Compare,,"Viscera of Justice
正義のゾウフ⑧",Staff,,2809,2630,1811,1754,"9004
(Lv120)",22,"Gospel of War (Verse 8)
Heal 2-3 allies by a massive amount of HP, and 味方のphysical ATK and physical DEFをアップする.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Arm of Restriction
束縛のカイナ⑧",Blade,,3327,2635,1643,1398,"9003
(Lv120)",22,"捌ノ型(禍氷)
Deal colossal physical damage to 1 enemy. Increase own physical ATK and physical DEF by a small amountand Increase Combo Count by +10 when comboing.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Orb of Depravity
卑劣の魔具",Focus,,2265,2761,1206,1436,"7668
(Lv120)",19,"Evil Hail of Protection (IV)
Deal great magical damage to 1-2 enemies, and increase own magical DEF by a small amount.","Dauntless Courage (II)
Fixed chance to moderately increase damage while attacking."
Compare,,"Innocent Eyes
無垢なる眸",Focus,,2477,2844,1285,1512,"8118
(Lv120)",21,"魔絶の烈火(Ⅴ)
Deal great magical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Flute of the Undying Soul
不死の魂の笛",Instr.,,2846,2471,1531,1281,"8129
(Lv120)",21,"戦人の奇想曲(Ⅳ)
Increase the physical ATK of 1-3 allies by a massive amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Harp of Eternal & Refined Beauty
永遠不変の美の竪琴",Instr.,,3386,3382,1452,1522,"9742
(Lv140)",21,"Hero's Harmony (IV)
Increase the physical ATK and magical ATK of 1-3 allies by a great amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Flower Prayer of Prudence
慮ノ華求",Ranged,,2862,3478,1551,1848,"9739
(Lv140)",21,"Evil Hail of Assault (IV)
Deal massive magical damage to 1 enemy, and increase own magical ATK by a small amount.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Wounded Occurrence of Kindness
寛ノ傷来",Staff,,2629,2910,2115,2071,"9725
(Lv140)",21,"Blessed Gospel (IV)
Heal 2-3 allies by a moderate amount of HP.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Supplemental Copper of Temperance
耐ノ尚銅",Hammer,,3545,2556,1858,1773,"9732
(Lv140)",21,"業焔の纏牙(Ⅳ)
Deal great physical damage to 1-2 enemies, and increase Power when Allies Nightmare [警鐘ハ散華ノ火花ヲ呼ブ(The Bell Sounds a Wildfire)] is active.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Club of Retribution (Catastrophe)
応報の棍棒(凶禍)",Hammer,,4038,2964,2135,1791,"10928
(Lv140)",23,"Torrent of Destruction (VI)
Deal massive physical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Demon's Soul (Catastrophe)
妖魔の魂(凶禍)",Blade,,4037,2962,2133,1790,"10922
(Lv140)",23,"Flaming Pursuit (VI)
Deal colossal physical damage to 1 enemy. Increase Combo Count by +10 when comboing.","乾坤一擲/剣戟(参)
When Attacking, Chance to get a moderate amount of inochi(lifeforce). ※Increased Power with more Blades in Main Grid (Small ~ Massive)"
Compare,,"Staff of the Fool's Gold (Catastrophe)
愚金の杖(凶禍)",Staff,,3371,3366,2060,2115,"10912
(Lv140)",23,"身護の誓願(Ⅵ)
Heal 2-3 allies by a great amount of HP, and increase their magical DEF by a small amount.","双翼の恩寵(参)
Fixed chance to moderately increase HP recovered while healing. and Fixed chance to slightly increase support effects while providing backup."
Compare,,"Chancellor's Brain (Catastrophe)
宰相の脳(凶禍)",Staff,,3370,3365,2117,2056,"10908
(Lv140)",23,"大翼の福音(Ⅱ)
Heal 2 allies by a great amount of HP, 1.5x effect when at a disadvantage.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Violin of the Fearful Sound (Catastrophe)
忌音の提琴(凶禍)",Instr.,,3223,3869,1712,2113,"10917
(Lv140)",23,"妖術師の譚詩曲(Ⅴ)
Increase the magical ATK of 2-3 allies by a massive amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"The Princess's Relics (Catastrophe)
王妃の遺物(凶禍)",Instr.,,3922,3065,2141,1785,"10913
(Lv140)",23,"戦人の奇想曲(Ⅴ)
Increase the physical ATK of 2-3 allies by a massive amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Resounding Nightmare (Catastrophe)
悪夢の響き(凶禍)",Focus,,3283,3866,1743,2019,"10911
(Lv140)",23,"Inferno of Exorcism (VI)
Deal massive magical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Indignant Tool (Catastrophe)
憤果の器(凶禍)",Focus,,3293,3815,1754,2030,"10892
(Lv140)",23,"魔絶の波濤(Ⅵ)
Deal massive magical damage to 2 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Omen of Catastrophes (Catastrophe)
惨禍の予兆(凶禍)",Tome,,3292,3814,1753,2088,"10947
(Lv140)",23,"厭幽ノ病魔(Ⅴ)
Reduce the magical ATK of 2-3 enemies by a massive amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Tome of the Phoenix (Catastrophe)
不死鳥の魔書(凶禍)",Tome,,3879,3674,1718,1636,"10907
(Lv140)",23,"Incantation of Corrosion (V)
Reduce the physical ATK and magical ATK of 2-3 enemies by a great amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Gun of Revenge (Catastrophe)
報復の銃(凶禍)",Ranged,,3290,3749,1794,2085,"10918
(Lv140)",23,"Wind Technique of the Twin Songs (VI)
Deal colossal magical damage to 1 enemy. Increase Combo Count by +10 when comboing.","乾坤一擲/銃撃(参)
When Attacking, Chance to get a moderate amount of inochi(lifeforce). ※Increased Power with more Ranged in Main Grid (Small ~ Massive)"
Compare,,"Black Crow's Curse (Catastrophe)
闇鴉の詛呪(凶禍)",Polearm,,3289,3748,1749,2117,"10903
(Lv140)",23,"復讐の紫電(参)
Deal great magical damage to 1-2 enemies, 1.5x effect when at a disadvantage.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Staff of the Universe (Calamitous)
世詠の杖(禍)",Staff,,3371,3442,2026,2083,"10922
(Lv140)",23,"破撃の誓願(Ⅵ)
Heal 2-3 allies by a great amount of HP, and increase their magical ATK by a small amount.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Half-Eyed Stranger Tome (Calamitous)
半眼の異書(禍)",Tome,,3750,3365,1992,1788,"10895
(Lv140)",23,"Incantation of Shackles (V)
Reduce the physical ATK and physical DEF of 2-3 enemies by a great amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Night Poison (Calamitous)
宵の毒薬(禍)",Focus,,3368,3744,1830,1988,"10930
(Lv140)",23,"魔絶の滝波(Ⅴ)
Deal great magical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Staff of the Revived Moment (Calamitous)
復活の刻杖(禍)",Staff,,3367,3806,1876,1874,"10923
(Lv140)",23,"Angel’s Death Rattle (V)
Heal 2-3 allies by a great amount of HP. Between The Start of Colosseum & 5 Minutes before it ends, Recover 10sp with every use.","Replenish Magic (III)
Fixed chance to greatly reduce SP consumption while executing commands."
Compare,,"Sound of Death Knells (Calamitous)
断末魔の音(禍)",Instr.,,3747,3361,2055,1784,"10947
(Lv140)",23,"Champion's Harmony (V)
Increase the physical ATK and physical DEF of 2-3 allies by a great amount.","Replenish Magic (III)
Fixed chance to greatly reduce SP consumption while executing commands."
Compare,,"Birdcage of Frenzied Flowers (Calamitous)
狂花の籠(禍)",Focus,,3377,3753,1798,1997,"10925
(Lv140)",23,"Evil Thunder of Defense (V)
Deal great magical damage to 1-3 enemies, and decrease their magical DEF by a small amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Black Blade of the True Night (Calamitous)
真ノ夜ノ黒刀(禍)",Blade,,3756,3371,1885,1882,"10894
(Lv140)",23,"崩壊の突風(Ⅴ)
Deal colossal physical damage to 1 enemy.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Final Strike (Calamitous)
終焉の一撃(禍)",Hammer,,3679,3446,1957,1834,"10916
(Lv140)",23,"崩壊の烈火(Ⅴ)
Deal great physical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Timbre of Immorality (Calamitous)
背徳の音色(禍)",Instr.,,3754,3749,1717,1714,"10934
(Lv140)",23,"Hero's Harmony (V)
Increase the physical ATK and magical ATK of 2-3 allies by a great amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Winged Gun of Impulse (Calamitous)
衝動の翼銃(禍)",Ranged,,3372,3748,1834,1952,"10906
(Lv140)",23,"魔絶の流水(Ⅴ)
Deal colossal magical damage to 1 enemy.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Tome of Locks (Calamitous)
重錠の魔書(禍)",Tome,,3371,3747,1791,1991,"10900
(Lv140)",23,"Exorcist's Incantation (V)
Reduce the magical ATK and magical DEF of 2-3 enemies by a great amount.","Replenish Magic (III)
Fixed chance to greatly reduce SP consumption while executing commands."
Compare,,"Spear of the Iron Gate (Calamitous)
鉄柵の槍(禍)",Polearm,,3446,3669,1831,1950,"10896
(Lv140)",23,"魔絶の竜巻(Ⅴ)
Deal great magical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Tome of the Ocean's Resonance
海鳴りの書",Tome,,3544,3539,1621,1650,"10354
(Lv140)",22,"灰燼ノ病魔(弐)
Reduce the physical ATK and magical ATK of 2 enemies by a great amount.","Support Boon (II)
Fixed chance to moderately increase support effects while providing backup."
Compare,,"Fish's Slumber
創魚の微睡",Instr.,,3541,3536,1650,1616,"10343
(Lv140)",22,"勇者の夢想曲/序曲(Ⅲ)
Increase the physical ATK and magical ATK of 1-2 allies by a moderate amount. Between the Start of Colosseum & 5 Minutes before it ends, Increase Effects.","Support Boon (II)
Fixed chance to moderately increase support effects while providing backup."
Compare,,"Sacrificial Tears
犠牲の落涙",Focus,,3383,3434,1448,1547,"9812
(Lv140)",21,"龍脈ノ烙印(肆)
Deal great magical damage to 1-2 enemies, and recover 70 SP.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Axe of the Frozen Flower
花砕氷の斧",Hammer,,3480,2485,1934,1912,"9811
(Lv140)",21,"崩壊の滝波(Ⅴ)
Deal great physical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Staff of Frozen Steel
氷鉄の杖",Staff,,2868,2728,2211,2030,"9837
(Lv140)",21,"身護の萌芽(Ⅴ)
Heal 2-3 allies by a moderate amount of HP, and increase their physical DEF by a small amount.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Judgemental Blade
裁断の剣",Blade,,3541,2630,1964,1669,"9804
(Lv140)",21,"Stone Hail Pursuit (V)
Deal colossal physical damage to 1 enemy. Increase Combo Count by +5 when comboing.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Holy Night's Gun of Purity
純潔の聖夜銃",Ranged,,2863,3436,1552,1959,"9810
(Lv140)",21,"Evil Ice of Defense (IV)
Deal massive magical damage to 1 enemy, and decrease their magical DEF by a small amount.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Holy Night's Tome of Delusion
虚妄の聖夜書",Tome,,3438,3255,1625,1518,"9836
(Lv140)",21,"折剣ノ病魔(Ⅳ)
Reduce the physical ATK of 1-3 enemies by a massive amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Holy Night's Spear of Parvenu
成金の聖夜槍",Polearm,,2858,3475,1957,1545,"9835
(Lv140)",21,"Evil Hail of Defense (V)
Deal great magical damage to 1-3 enemies, and decrease their magical DEF by a small amount.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Holy Night's Strings of Restriction
束縛の聖夜弦",Instr.,,3145,3441,1557,1672,"9815
(Lv140)",21,"妖術師の譚詩曲(Ⅳ)
Increase the magical ATK of 1-3 allies by a massive amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Downfall from Prosperity
盛者必衰",Polearm,,2374,2950,1289,1535,"8148
(Lv120)",21,"魔絶の滝波(Ⅴ)
Deal great magical damage to 1-3 enemies.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Insect's Noticing
蟲の報せ",Ranged,,2260,2988,1287,1589,"8124
(Lv120)",21,"肆ノ型(翠雷)
Deal massive magical damage to 1 enemy, and increase own magical ATK and magical DEF by a small amount.","乾坤一擲/銃撃(弐)
When Attacking, Chance to get a small amount of inochi(lifeforce). ※Increased Power with more Ranged in Main Grid (Small ~ Massive)"
Compare,,"Bloodstained Visage of Dependency
依存の血染貌",Hammer,,2929,2412,1533,1259,"8133
(Lv120)",21,"吸血ノ噛絞(伍)
Deal great physical damage to 1-3 enemies, and recover 10 SP.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Abyss of Justice
正義の淵",Tome,,2963,2471,1345,1343,"8122
(Lv120)",21,"刀錆ノ呪術/死(Ⅳ)
Reduce the physical ATK of 2 enemies by a great amount. Increase Skill Effects at 5 Minutes Remaining.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Beyond Hatred
不相応の悔恨",Polearm,,940,1157,504,609,"3210
(Lv80)",14,"Evil Hail of Assault (I)
Deal small magical damage to 1-2 enemies, and increase own magical ATK by a small amount.","Replenish Magic (I)
Fixed chance to slightly reduce SP consumption while executing commands."
Compare,,"Lullaby for the Dead
亡者の子守歌",Instr.,,1127,1123,502,509,"3261
(Lv80)",14,"Hero's Harmony (I)
Increase the physical ATK and magical ATK of 2 allies by a small amount.","Weapon Repair (II)
Fixed chance to moderately increase one vanguard member's physical ATK and magical ATK while providing backup."
Compare,,"Jug of Cursed Water
呪水の水瓶",Focus,,936,1153,522,598,"3209
(Lv80)",14,"Torrent of Exorcism (II)
Deal moderate magical damage to 1-2 enemies.","M.ATK Debuff (II)
Fixed chance to moderately reduce enemy's magical ATK while attacking."
Compare,,"Axe of the Magic Mirror
魔鏡の斧",Hammer,,1147,1004,615,506,"3272
(Lv80)",14,"Torrent of Destruction (II)
Deal moderate physical damage to 1-2 enemies.","Replenish Magic (I)
Fixed chance to slightly reduce SP consumption while executing commands."
Compare,,"Secret Glass Tome
硝子の秘書",Tome,,1772,1802,1190,1178,"5942
(Lv120)",18,"Incantation of Submission (II)
Reduce the physical DEF and magical DEF of 2 enemies by a moderate amount.","Destroy Armor (II)
Fixed chance to slightly reduce enemy's physical DEF and magical DEF while providing backup."
Compare,,"Ocean on Night Skies
夜空の海",Blade,,2153,1766,1132,941,"5992
(Lv120)",18,"水神の威圧(参)
Deal great physical damage to 1 enemy, and decrease their physical DEF and magical DEF by a small amount.","P.DEF Debuff (I)
Fixed chance to slightly reduce enemy's physical DEF while attacking."
Compare,,"Staff of Star Showers
流星の杖",Staff,,2419,2257,1757,1706,"8139
(Lv120)",21,"破撃の萌芽(Ⅴ)
Heal 2-3 allies by a moderate amount of HP, and increase their physical ATK by a small amount.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"The Price for Applauses
喝采の代償",Instr.,,2600,2697,1383,1464,"8144
(Lv120)",21,"Holy Knight's Gospel (V)
Increase the physical DEF and magical DEF of 1-3 allies by a massive amount.","Assistance Support (III)
Fixed chance to greatly increase support effects while providing backup."
Compare,,"Hunter's Trident Spear
狩人の三叉槍",Polearm,,1631,3204,1852,1433,"8120
(Lv120)",21,"Evil Thunder of Assault (V)
Deal great magical damage to 1-3 enemies, and increase own magical ATK by a small amount.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Unified Staff of Purity
純潔の混融杖",Staff,,2697,2592,1462,1377,"8128
(Lv120)",20,"Angel's Sigh (V)
Heal 1 ally by a massive amount of HP, and recover their SP by 70.","双翼の恩寵(参)
Fixed chance to moderately increase HP recovered while healing. and Fixed chance to slightly increase support effects while providing backup."
Compare,,"Abyss of Sorrow
悲哀の淵",Blade,,2853,2371,1538,1385,"8147
(Lv120)",21,"技喰ノ大蛇(決闘)
Immediately Copy the Last Used Skill. ※Only 1「技喰ノ大蛇」can be equipped in the Main Grid.","Dauntless Courage (III)
Fixed chance to greatly increase damage while attacking."
Compare,,"Clown's Box
道化師の箱",Focus,,2871,2866,1239,1065,"8041
(Lv140)",18,"Evil Blaze of Leeching (III)
Deal great magical damage to 1-2 enemies, and recover a small amount of own HP.","Recovery Support (III)
Fixed chance to greatly increase HP recovered while healing."
Compare,,"Staff of Twin Heads
双頭の杖",Staff,,2480,2475,1503,1458,"7916
(Lv140)",18,"Blessed Gospel (III)
Heal 1-2 allies by a great amount of HP.","Recovery Support (II)
Fixed chance to moderately increase HP recovered while healing."
Compare,,"Tome of the Organ
風琴の書",Tome,,2474,2777,1349,1476,"8076
(Lv140)",18,"Exorcist's Incantation (II)
Reduce the magical ATK and magical DEF of 2 enemies by a moderate amount.","Support Boon (II)
Fixed chance to moderately increase support effects while providing backup."
Compare,,"Timbre of the Loving Fate
運命愛の音色",Instr.,,2419,2469,1568,1566,"8022
(Lv140)",18,"聖騎士の福音歌/終曲(Ⅲ)
Increase the physical DEF and magical DEF of 1-2 allies by a moderate amount. Increase Skill Effects at 5 Minutes Remaining.","Support Boon (II)
Fixed chance to moderately increase support effects while providing backup."
